Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCY06,OUT035,1616.120611293135
FDE52,OUT035,1116.2566714043267
NCB54,OUT045,2008.2514840305657
NCF31,OUT035,2008.2088611285499
FDJ08,OUT027,4322.352171720862
NCC07,OUT017,1417.3008347729199
NCD19,OUT027,2336.2999541721756
FDL46,OUT049,2202.0582153004157
FDM20,OUT045,3891.70632292659
NCI06,OUT010,1277.407127077
DRM11,OUT035,3694.8059856654986
NCH07,OUT018,2854.2185479616905
FDS23,OUT013,1682.951557277287
FDO49,OUT018,1298.6922796722233
FDS35,OUT049,1306.3667347440553
DRK39,OUT045,1359.6045289896056
DRI39,OUT049,1249.0360550638106
FDV04,OUT017,2108.1457538624136
NCN14,OUT035,2409.5383237333067
FDH08,OUT013,3445.9102664940024
FDS20,OUT046,2828.660512376234
FDV40,OUT049,1600.628308806096
FDZ48,OUT010,122.05315891965188
FDS24,OUT027,2850.814787625655
FDK44,OUT049,2985.67621025099
FDS48,OUT045,2355.8233103635075
FDK26,OUT010,1479.7573234023926
FDD23,OUT045,3030.330648539426
NCH54,OUT017,2213.005549028204
NCP14,OUT010,-26.839814955931843
FDM60,OUT010,-862.4992673038063
FDV24,OUT017,2022.6356486159757
FDH08,OUT018,4073.7323957101203
FDS12,OUT027,3260.8612829588305
FDR39,OUT027,4218.917847535309
FDP12,OUT027,2079.6260284135437
DRF60,OUT027,5169.388136316371
FDC09,OUT035,1323.5069607316807
FDF50,OUT018,3457.0576980739907
FDG28,OUT035,3494.713646672034
NCE19,OUT017,533.8012704359453
NCM53,OUT010,135.65722583299976
NCN18,OUT049,2077.0560474349154
FDF32,OUT035,2713.1448746036795
FDF11,OUT013,3625.2194382820694
DRI59,OUT049,3936.533987344325
NCG54,OUT035,2228.6839294190795
FDM44,OUT046,1587.2447382211276
FDT57,OUT018,4181.829469416127
FDV24,OUT046,2262.2252517112584
FDI50,OUT019,2455.6267849832475
FDS09,OUT035,444.2932088074367
NCC31,OUT027,3898.326693642805
FDQ07,OUT019,2173.1573399760646
FDC22,OUT017,2656.549517423816
FDZ56,OUT046,2651.6497949694326
FDZ40,OUT019,-330.43080951449167
FDS46,OUT027,3353.212670726257
DRD24,OUT045,2288.503442051532
FDV45,OUT017,2691.04729996236
FDL26,OUT045,2426.050561553197
FDA56,OUT018,2436.790282196538
FDN27,OUT046,1830.6260681046078
FDM20,OUT049,4214.208993011993
FDO16,OUT017,1085.512862951715
FDL03,OUT035,2767.5597935003434
FDE58,OUT046,1795.6509550331048
FDI02,OUT027,3158.8441932371093
NCC55,OUT019,-633.8378685711035
FDR03,OUT018,3773.6285243266398
FDB14,OUT017,1149.8028346275194
FDR45,OUT013,3579.8552229434404
NCN07,OUT017,1776.338479324209
FDM51,OUT019,510.94612924635817
FDT52,OUT027,5325.379772559003
FDL26,OUT046,2346.154235286803
NCZ42,OUT046,3753.1087036373215
DRI47,OUT019,1182.1087849627197
FDW40,OUT013,1962.3382918827474
FDN34,OUT046,2642.174752821234
FDS01,OUT035,2466.487008059917
NCG55,OUT045,1852.1453121431036
FDC11,OUT035,860.514182318816
FDX35,OUT018,3997.1500295338615
NCB06,OUT046,2419.7587076516666
FDR09,OUT019,2783.5871267597577
FDC53,OUT017,1312.5873077956164
FDY45,OUT013,3743.997737969407
FDA22,OUT010,1011.7141403497169
FDE02,OUT035,1021.2669462049578
FDW21,OUT045,1728.1576274383897
FDV34,OUT046,1235.2748265075518
FDS59,OUT049,2136.791449161767
NCW17,OUT017,1764.9973547378222
NCK54,OUT046,1828.0119266942293
FDG17,OUT019,2698.623741084436
FDG35,OUT017,2458.2353494947965
FDD08,OUT010,-904.9567797070729
NCO07,OUT017,3083.0874035466422
FDJ10,OUT010,544.9010247162066
FDW36,OUT017,1350.901989220592
FDW21,OUT010,123.2691477039009
FDY19,OUT017,1586.0045757286844
DRE03,OUT013,592.9341491789814
NCC55,OUT049,944.5795400747338
FDH52,OUT010,-473.8205332715726
FDO09,OUT017,3803.4375725083914
FDU43,OUT045,3802.7243201107817
FDX09,OUT010,1159.5039449008134
FDH40,OUT019,76.29699765060491
FDW58,OUT017,1423.5121864209154
FDC47,OUT017,3177.2829917413155
NCR41,OUT035,1144.8179562808764
DRG49,OUT035,3464.666252174339
FDC52,OUT027,3938.4936741778242
FDY13,OUT046,1170.621279110111
FDY35,OUT013,576.4470447496701
FDI35,OUT017,2583.24690080347
NCU18,OUT049,2562.8934160216018
FDY33,OUT018,2907.1243710411936
FDC15,OUT027,3721.192648183654
FDU01,OUT049,3306.255032448041
NCU42,OUT046,2660.6227915073937
NCV29,OUT018,3257.524826505141
NCY30,OUT017,2611.0598594553926
FDQ46,OUT049,2049.1141264950584
FDG58,OUT027,3847.5471676502134
FDK33,OUT017,3115.9095769981864
NCD07,OUT045,1824.2488581003904
NCX29,OUT027,3638.2693427789286
NCT42,OUT013,2137.7560160494627
DRN59,OUT035,365.10306747884897
FDI44,OUT035,793.856309937423
FDA45,OUT049,2993.949331337098
FDP31,OUT045,941.0467146067465
FDY01,OUT046,1649.3322272155606
FDT09,OUT018,2631.368208046345
DRH03,OUT027,2940.7035103918756
FDA36,OUT018,3435.7416120618645
NCF31,OUT017,2120.647835770745
FDG14,OUT049,2787.989234432253
FDG28,OUT027,5332.027387017826
FDU14,OUT049,4295.140521284271
FDY47,OUT019,887.4260251062954
FDI56,OUT049,1725.7045876082475
DRD01,OUT013,741.4392852046826
FDM22,OUT046,860.8176832331394
FDH33,OUT013,345.323319728163
DRZ24,OUT013,1629.2428191360264
NCQ38,OUT046,1662.021137459527
FDO16,OUT027,2813.473325565646
FDU07,OUT027,3764.5861625138855
NCB07,OUT013,2771.1476578422717
FDU48,OUT045,2082.772701900902
NCM43,OUT045,2644.5867897252183
FDR31,OUT010,774.6213954621396
DRK49,OUT018,1150.1327971570386
NCI30,OUT010,2245.6955925529523
DRD60,OUT017,2612.597551887808
NCG19,OUT046,3490.205947220598
FDH12,OUT035,1225.9430685243772
FDM32,OUT035,1104.9683188350325
FDM27,OUT035,1963.362876908816
NCU53,OUT027,4004.8829377119214
NCQ18,OUT046,1389.245340560797
FDS10,OUT013,2601.778394442642
FDB33,OUT027,3958.4071016336206
FDI12,OUT013,1110.5152277870736
NCW42,OUT013,3219.6212346404377
NCC06,OUT018,2482.147625549896
FDW02,OUT017,1774.8273906424788
NCD43,OUT017,1408.3044043593989
FDM57,OUT018,1763.1309241374965
FDA58,OUT017,3353.4889257702416
FDK56,OUT046,2749.945161783767
FDP52,OUT045,3663.041193683903
FDW20,OUT018,2420.737035479762
FDS52,OUT049,2009.6292010318093
NCT29,OUT018,2294.7224824090126
NCL54,OUT013,2488.8506649592905
FDC05,OUT045,3105.1374408340093
FDF34,OUT035,2812.204587363907
FDP03,OUT027,3427.3384932970635
FDD32,OUT010,-166.52684485640992
FDZ10,OUT045,1995.9453835958507
FDZ40,OUT035,498.7518490949226
FDD51,OUT018,1035.8961811499544
NCY30,OUT019,1656.793699278293
FDP58,OUT017,3010.6469895205155
FDV49,OUT017,3895.7365526848994
FDY24,OUT019,-542.5281220729179
NCO55,OUT017,1339.9647905230179
FDR13,OUT017,1640.872498108778
FDS51,OUT017,730.6045096488892
FDP26,OUT045,1539.3533760763953
NCB54,OUT027,3458.8491763346965
FDF32,OUT017,2781.7986828085945
FDN31,OUT018,3371.204061022382
DRM48,OUT017,239.72528661284787
FDN20,OUT049,3042.0553760085495
DRL01,OUT046,3670.726015237244
FDV56,OUT049,2150.895411172621
DRH13,OUT027,3203.990448836866
FDA03,OUT017,2061.6992812000235
FDF47,OUT027,4872.819607067533
FDX32,OUT046,2238.3361191182134
FDX57,OUT049,1932.9670614485121
NCA30,OUT045,2876.7923396249384
FDO49,OUT013,638.2483741821413
FDL04,OUT019,283.6822323656995
DRM48,OUT035,158.9860176794076
FDR16,OUT013,3077.022919870808
NCC19,OUT018,3385.9405644986614
NCE42,OUT045,3750.121990170918
FDY24,OUT017,527.4774038948071
FDH19,OUT049,3132.0689638754775
FDJ46,OUT013,2503.9085406918534
FDN45,OUT010,1795.2114917078566
FDY08,OUT035,1695.739493465408
FDZ37,OUT035,1086.9863266993386
NCT30,OUT045,723.3219746537652
DRY23,OUT018,1109.1714351404148
NCZ30,OUT018,2383.8840657297246
FDC44,OUT018,2039.7767754020147
FDB45,OUT035,1305.4892198921714
FDY04,OUT013,2395.329146204882
FDM27,OUT046,2483.5517857402892
FDZ43,OUT017,3540.5301204925568
FDT39,OUT019,1307.7686555196744
NCC06,OUT019,830.1044033110691
FDL15,OUT027,3851.4175497670726
FDL57,OUT017,3776.6872559644257
FDU08,OUT046,1552.226970483728
FDK40,OUT017,3900.0281815938365
FDQ12,OUT010,2073.101492347022
FDS48,OUT017,2125.5478910795255
FDP09,OUT045,3360.1805711148327
FDW21,OUT049,2041.2848811579934
FDY25,OUT035,2484.9203765598327
DRE13,OUT017,1142.2355599928514
FDV43,OUT019,-599.6514964011661
FDD22,OUT045,1706.05126076534
FDM46,OUT019,-33.93861530575464
NCO30,OUT010,1420.5171451136398
FDM25,OUT046,2724.34136320779
NCN41,OUT049,2277.36781626895
FDU24,OUT045,1412.3906790890633
FDZ50,OUT046,2851.578092268981
FDP45,OUT013,3789.7321375782853
NCM54,OUT045,1988.9000758659276
FDW10,OUT019,1483.6219161756121
FDP20,OUT017,1733.2024126553652
FDK32,OUT046,2383.8253074852782
FDN52,OUT049,1677.3528042293583
FDM58,OUT045,1791.4863655991858
FDZ46,OUT027,3152.241023908294
NCA18,OUT018,2266.3122928876164
FDD35,OUT046,1913.7919456208024
NCK31,OUT035,435.761473499806
FDI40,OUT027,2960.5770544416696
FDT50,OUT019,229.24925959649522
NCT06,OUT046,2552.5941140629366
FDT31,OUT035,2617.0689750562588
FDT45,OUT049,1191.2205808981676
FDT13,OUT045,2996.865222304268
FDO50,OUT045,1409.573167985667
NCU18,OUT010,637.310469630504
NCR54,OUT049,3347.4243173494115
NCO18,OUT018,3263.2889140483317
FDU09,OUT045,943.0198030911959
FDT13,OUT018,3423.5736298372867
FDE09,OUT046,1772.3836971419664
NCK53,OUT019,403.3533525343554
FDG45,OUT049,3681.0377740446297
DRH15,OUT035,288.69099585788
FDO21,OUT019,2450.682148408281
FDD14,OUT027,4149.279930359811
FDC09,OUT046,1664.203956970437
FDH45,OUT027,2097.219003697332
FDV32,OUT046,939.1966618289291
FDG12,OUT035,1614.1742827433409
FDS32,OUT013,2055.0133908806483
NCL55,OUT018,4341.870725943121
DRE01,OUT035,3298.0308125929123
DRE15,OUT049,1657.5808767125231
NCL42,OUT045,3887.397074705115
FDP31,OUT013,671.9554261700584
FDN33,OUT018,1861.5734364691316
FDZ59,OUT046,2524.3792793732896
FDE45,OUT010,1269.4450196553782
FDJ07,OUT013,1693.9668829142624
FDQ45,OUT018,3442.0495697599963
FDM33,OUT027,4814.106066230464
FDO15,OUT010,-203.5906940342722
FDM46,OUT013,1076.535840927477
FDR03,OUT045,3351.566900729056
FDY49,OUT018,3153.9313206400057
FDQ60,OUT045,1855.5568265532033
FDW10,OUT049,3092.948865782385
FDO51,OUT049,1138.954235108642
FDJ40,OUT018,2202.695388074857
FDS20,OUT018,3293.1297554733483
FDU45,OUT013,1615.6140988492998
FDV02,OUT035,2260.4808785674204
FDN09,OUT046,3776.5652774633295
NCM55,OUT027,4330.134159228344
FDN23,OUT018,2728.1457494679407
FDY31,OUT010,748.8812370710614
FDW03,OUT010,245.25867158105007
FDD14,OUT046,2656.4684766848777
FDV23,OUT017,1616.1277971406435
DRI03,OUT045,2852.690874202827
FDN13,OUT035,1032.5228300063393
FDF45,OUT027,2491.1926239533186
FDU46,OUT035,1111.1768699396732
FDB57,OUT049,3934.824271275226
FDV12,OUT049,1954.8198626591807
FDQ58,OUT013,2202.657030494513
NCA18,OUT017,1529.9244138780164
FDH52,OUT049,1362.486933734991
FDM24,OUT018,2808.4248141883654
NCP43,OUT027,4296.928657833889
NCO18,OUT019,1611.3676849683325
FDM32,OUT017,1197.4114068280594
NCL07,OUT017,348.0364809528637
FDK03,OUT013,3755.798067219857
FDP59,OUT017,1368.1841319953874
FDQ24,OUT049,4258.549371322561
FDQ16,OUT018,2171.3353834581485
FDU44,OUT013,2335.721166420939
FDH28,OUT010,-1029.9900576441528
FDV28,OUT019,-871.4633527009437
FDM22,OUT045,937.0800360529158
FDR56,OUT046,3009.8557257639713
FDV39,OUT049,3508.6278077759116
FDU37,OUT019,-30.501184664028642
FDQ11,OUT010,2546.3500876570715
FDX02,OUT045,3507.126581312455
NCS42,OUT018,1865.2262255731002
FDY57,OUT027,2875.579496167448
FDB21,OUT049,4005.5908512817355
FDE28,OUT017,3252.5976255229443
FDQ55,OUT017,1609.00506220636
FDA48,OUT049,3751.4859421015476
FDZ19,OUT045,2693.668614916833
NCC43,OUT045,3902.1468874701673
NCV18,OUT046,1170.3757888932682
NCA42,OUT018,2962.3551829628136
FDY45,OUT046,4006.1536878768898
NCC30,OUT045,2844.986546542344
FDM57,OUT013,1137.2885054312667
FDL09,OUT010,920.4622235529685
FDB09,OUT027,3387.3277205896716
FDT44,OUT035,1410.0798200079737
NCT06,OUT027,4021.748883665148
FDX26,OUT049,3175.1503924159983
FDK32,OUT013,2228.522878463095
DRA12,OUT046,2254.3432032483
FDO46,OUT010,1536.1064851551027
FDE52,OUT013,1225.2467736746696
NCH42,OUT045,3639.150703922745
FDV08,OUT035,328.4823514438234
FDB47,OUT018,3710.4559860232516
FDC28,OUT010,179.8881108402004
FDD22,OUT046,1680.7909813348037
FDS07,OUT027,3176.503640756419
DRI13,OUT045,3492.7841119780715
FDG32,OUT018,3740.6771414270593
FDU14,OUT017,3658.2857400812713
FDD28,OUT019,-288.3887672156827
NCP41,OUT017,1484.7677302382526
FDS08,OUT049,3099.447679296079
FDX47,OUT045,2568.8981679885687
FDC53,OUT019,475.14646621616544
FDQ19,OUT035,3504.235527172259
FDL14,OUT045,2530.4068504080597
FDM33,OUT019,2154.38114181328
FDA51,OUT045,1686.258522609421
FDZ27,OUT018,1265.455704702402
FDT04,OUT046,535.2982017374661
DRC13,OUT049,2435.395577175402
FDR16,OUT027,4770.571216305274
FDQ03,OUT027,5145.2247514806095
FDE38,OUT035,2265.5253966164883
DRH23,OUT027,2200.180935797492
FDT11,OUT019,1834.6556479480905
FDD09,OUT035,2480.3958659335626
FDR40,OUT045,1343.293770679583
FDX07,OUT017,2685.060930295939
FDR07,OUT035,1103.5078685228884
FDA51,OUT017,1403.9456221768764
FDT59,OUT019,2480.687641141956
FDF20,OUT017,2803.480490678906
FDR13,OUT045,1909.9906275816957
FDY26,OUT049,3727.9309067190675
FDW04,OUT017,1803.9780960579742
FDK52,OUT017,3227.997526076405
FDN60,OUT049,2758.202335348238
FDM09,OUT019,1426.1407095732154
FDP46,OUT049,1708.3688390372222
FDB50,OUT019,-228.25492022201058
NCQ29,OUT049,4323.49502031169
FDP16,OUT027,5293.291320578031
FDX33,OUT018,2921.8578982245526
FDP07,OUT010,1534.341278469234
FDN22,OUT046,3811.2486955517575
FDF39,OUT049,4482.125013300129
FDS21,OUT017,773.834363995388
NCM42,OUT013,1491.1393412498446
FDK50,OUT019,1407.7553420860575
DRF13,OUT027,3806.6703043226885
FDH35,OUT018,2992.402600225033
FDP60,OUT018,1994.7547045947308
DRJ49,OUT027,3568.1961215577026
NCT42,OUT019,1172.2856701869707
FDE38,OUT049,3002.470453801807
FDI04,OUT049,3489.7719090349406
NCH54,OUT045,2454.299876828147
FDT56,OUT049,1247.488685338643
DRD15,OUT018,4102.977514920125
FDV58,OUT013,2784.7680093839986
FDP21,OUT049,3383.2971165916633
FDH05,OUT013,3411.093591774719
FDR10,OUT027,4029.4052523883224
NCP06,OUT045,2366.767996211107
FDF33,OUT049,2081.062670036123
DRK37,OUT013,2743.858803055986
DRH49,OUT045,1354.491368733838
FDT58,OUT013,2352.643927387944
FDD41,OUT018,2082.2816618414126
FDP40,OUT018,2255.7069164583017
FDM51,OUT027,3123.9064816263867
FDO45,OUT010,-106.86701718121839
FDW33,OUT010,8.062302682210657
FDY24,OUT045,912.338642440656
FDB10,OUT010,2128.584320015601
FDM40,OUT035,1687.301515589827
NCI06,OUT017,2553.3612657719636
FDW12,OUT019,1129.5577513079672
FDX48,OUT027,3935.6649831209293
NCW05,OUT027,2970.4701595950696
FDX27,OUT017,1172.1290634882653
DRM37,OUT045,3089.742929245863
FDA38,OUT045,3841.6096709108892
FDR36,OUT046,553.096005649553
FDZ45,OUT046,3051.928329614884
FDG05,OUT017,2204.569358994179
FDK28,OUT013,3804.5704443566933
FDV47,OUT045,1362.8289342964265
FDN21,OUT045,2493.9239813086647
FDP20,OUT027,3441.838172348451
FDI35,OUT045,2880.4900294757263
DRY23,OUT013,467.9807876209759
FDA56,OUT017,1714.5413991916043
FDB09,OUT013,1699.419108676634
NCO26,OUT027,3234.4218317117266
FDQ49,OUT018,2958.0921305591337
FDI52,OUT027,3280.848810485891
FDZ44,OUT027,3300.450172960845
FDZ09,OUT018,2933.7976446052644
FDY03,OUT049,2149.246636810089
NCG42,OUT017,1763.584293465227
DRI13,OUT027,4928.880274861409
FDQ32,OUT013,1803.3395804990441
FDW16,OUT035,1116.7626733857262
FDU27,OUT046,580.6901927202935
FDR28,OUT010,1113.7518666461094
FDQ49,OUT010,1003.9818982760537
FDS37,OUT046,1819.1640498066718
FDW26,OUT018,3860.1134239420758
FDX12,OUT018,4296.950588777088
NCP06,OUT013,2143.926459745326
FDW45,OUT010,753.4153987726115
NCN30,OUT049,1887.9826878784706
FDN24,OUT049,1110.10692448992
NCL41,OUT027,1968.153371536669
FDR02,OUT019,582.1971338436449
FDD09,OUT010,1355.3430374902089
FDS33,OUT010,-103.41949708259284
FDU22,OUT045,1836.2840493845997
FDI53,OUT013,2250.814278149111
DRH01,OUT049,3076.5341247655715
FDX32,OUT013,1997.363072786784
NCP30,OUT018,1087.5987883612395
FDB60,OUT045,3123.0648797733647
FDB14,OUT049,1801.0960997477514
NCP02,OUT035,546.1631339467108
FDJ10,OUT017,1865.2616455290095
FDG34,OUT046,1730.1640893571798
NCB18,OUT017,1107.289682399978
FDM16,OUT049,1612.1899939806126
FDW25,OUT018,1790.6594911907246
FDB35,OUT010,-95.54241577483361
DRN11,OUT013,1896.458959066952
FDF41,OUT019,2464.522252783029
FDH16,OUT045,1407.5933193028766
NCQ50,OUT018,3779.153142891531
DRH23,OUT018,1201.772324158624
DRJ37,OUT013,2178.911003242105
DRJ24,OUT027,4274.520838974349
FDY16,OUT035,2482.582397944062
FDQ27,OUT045,1739.9224913539097
FDZ33,OUT045,2268.975755592364
FDF29,OUT045,2176.2795965947516
FDA08,OUT049,2971.371120756791
FDG31,OUT046,971.6869407811635
FDE34,OUT019,1693.617533013824
NCR30,OUT027,2563.681490918848
FDV33,OUT035,3748.3074932650975
DRZ24,OUT018,2344.257598078671
NCL54,OUT035,2286.2839286176663
FDR12,OUT049,3149.719118684306
NCC54,OUT046,3667.903218114962
DRN59,OUT013,516.5915768041461
FDX50,OUT019,460.0345683068922
FDV31,OUT027,4151.248662032038
NCA29,OUT027,4171.408486163746
FDW60,OUT049,3237.6392614467322
FDX08,OUT017,2622.0534883072205
DRD49,OUT013,3340.9111920079636
FDD33,OUT046,3498.0131454440307
FDW35,OUT013,509.262165362574
FDJ36,OUT017,1276.8990365566756
FDV51,OUT035,2254.7062196440115
FDW36,OUT046,1629.07606875976
FDH35,OUT046,2535.7654301557295
NCS30,OUT027,3423.0297195799753
FDN49,OUT017,271.20446889542643
FDL08,OUT018,4292.183935907751
FDI09,OUT013,3463.9605253279683
FDP19,OUT018,2292.3954757612946
FDU21,OUT010,-1032.543067236154
NCP41,OUT045,1752.2604123174283
FDY10,OUT013,1545.6904278216548
FDP12,OUT018,1081.4933055498
NCN26,OUT049,2210.3078639712203
FDK44,OUT013,2403.2118464867267
FDC28,OUT049,2073.4531518575873
FDJ41,OUT027,5595.976030555685
NCT29,OUT035,1534.832605221366
NCH42,OUT019,2390.312813421718
FDU60,OUT018,3092.2251302579743
FDS02,OUT045,2958.3730298283654
FDC51,OUT046,2008.9023270110547
FDU03,OUT013,2625.1192288128427
FDX39,OUT045,3386.7425156183813
NCY05,OUT010,-983.1641232063637
NCL06,OUT027,5464.3984538262375
FDD32,OUT035,909.8294516121491
NCN41,OUT045,1934.5916279473454
NCX53,OUT049,2620.670102509923
FDU57,OUT019,1089.3535447115244
FDQ23,OUT046,1641.9542963412641
FDQ52,OUT045,3812.253660580884
FDC14,OUT045,723.9387571800132
FDY09,OUT035,2428.438873241594
FDQ28,OUT045,2509.229929812499
FDV25,OUT046,3435.329822566813
FDJ07,OUT035,1505.4936924063732
DRB25,OUT049,2035.773450780228
FDK52,OUT019,2242.121922308532
FDY52,OUT027,2499.4765629398103
FDB28,OUT046,3003.0536671751997
FDT36,OUT035,110.81538393770973
FDV25,OUT017,3211.806699047058
NCN07,OUT027,3501.017381272882
FDC57,OUT017,2790.2169206783096
FDQ03,OUT018,4154.020818662868
FDU23,OUT017,2385.1305508805285
NCX41,OUT035,2987.1892880797654
NCD06,OUT035,285.154412548678
FDW08,OUT045,1554.546004630276
NCU29,OUT017,2030.7949943295844
NCE06,OUT013,2237.2485376001287
FDV52,OUT010,174.49819706987137
FDB02,OUT017,2575.4310200199166
NCR18,OUT045,737.1945310271176
FDK16,OUT049,1827.2901185366472
NCQ29,OUT010,2357.9281921748384
FDZ01,OUT019,573.5197651910337
FDW27,OUT035,1993.5848233427932
FDD17,OUT018,4193.0132886240335
FDW39,OUT013,2620.1476394821348
DRH59,OUT045,1190.295002767631
FDS52,OUT013,1445.4608730730095
FDU40,OUT027,4514.6020967835575
NCF54,OUT013,2490.8864853301934
FDH46,OUT045,1706.2238328141784
NCP14,OUT049,1897.946609496406
FDH50,OUT049,3290.112001612126
DRF15,OUT010,930.5541069456394
FDV27,OUT027,2881.7545000632704
NCJ06,OUT049,2259.0695378666755
FDN02,OUT018,3620.640746375883
FDQ51,OUT049,1189.8040934258474
FDQ07,OUT017,3204.4408652061175
FDS45,OUT049,2102.2783995076597
NCJ06,OUT045,1933.4521149454504
FDD36,OUT035,1506.854030479427
FDY25,OUT045,2905.628385657235
FDU52,OUT046,2377.5059580148722
DRK47,OUT017,3293.86508125323
NCL30,OUT017,1729.603037201196
FDN22,OUT035,3481.4942540796183
